FICE,College name,State,Public/private indicator,Average Math SAT score,Average Verbal SAT score,Average Combined SAT score,Average ACT score,First quartile - Math SAT,Third quartile - Math SAT,First quartile - Verbal SAT,Third quartile - Verbal SAT,First quartile - ACT,Third quartile - ACT,Number of applications received,Number of applicants accepted,Number of new students enrolled,Number of fulltime undergraduates,Number of parttime undergraduates,In-state tuition,Out-of-state tuition,Room and board costs,Room costs,Board costs,Additional fees,Estimated book costs,Estimated personal spending,Student/faculty ratio,Instructional expenditure per student,Graduation rate
1815,Indiana Univ. Northwest,IN,1,*,*,*,*,*,*,*,*,*,*,1572,1241,907,2699,2611,2369,6140,*,*,*,96,500,*,18.2,4635,33
1816,Indiana Univ. at South Bend,IN,1,*,*,*,*,*,*,*,*,*,*,1500,1250,980,2761,3341,2412,6594,*,*,*,146,600,*,14.4,5378,33
1817,Indiana Univ. Southeast,IN,1,*,*,*,*,*,*,*,*,*,*,1265,1256,911,2728,2660,2369,6140,*,*,*,73,500,*,16.7,4546,33
1820,Manchester College,IN,2,508,442,950,22,440,580,370,500,19,25,1004,802,239,909,51,10440,10440,3850,1960,1890,350,525,1450,11.8,7940,64
1821,Marian College,IN,2,455,412,867,*,400,530,380,460,*,*,770,542,238,923,427,9990,9990,3822,3822,*,164,450,1540,10.4,7799,61
1822,Indiana Wesleyan University,IN,2,455,408,863,21,*,*,*,*,*,*,735,423,366,2448,707,9210,9210,3782,1558,2224,*,700,1000,39.8,6562,34
1824,Oakland City College,IN,2,*,*,*,*,*,*,*,*,*,*,495,465,275,695,193,7620,7260,2984,998,1986,186,740,900,11.5,5514,62
1825,Purdue University at West Lafayette,IN,1,545,453,998,24,470,620,390,510,22,27,21804,18744,5874,26213,4065,2884,9556,3990,*,*,*,570,1060,18.2,8604,67
1827,Purdue University Calumet,IN,1,440,450,890,22,*,*,*,*,*,*,*,*,*,3831,4186,2374,5521,*,*,*,30,490,*,*,*,*
1830,Rose-Hulman Institute of Technology,IN,2,670,540,1210,30,600,710,490,600,*,*,3320,1840,381,1320,*,13380,13380,4206,2070,2136,120,600,600,13.6,13550,97
1832,Saint Francis College,IN,2,450,410,860,21,380,530,370,470,18,23,213,166,85,513,247,8670,8670,3820,3820,*,80,450,1000,12.5,7440,48
1833,Saint Joseph's College,IN,2,494,423,917,22,430,580,370,480,20,26,920,684,225,815,222,11200,11200,4250,4250,*,330,600,950,14.8,7360,67
1834,Calumet College of St. Joseph,IN,2,*,*,*,*,310,410,280,440,17,17,225,203,176,470,627,3960,3960,*,*,*,25,*,*,10.6,4119,*
1835,Saint Mary-of-the-Woods College,IN,2,422,392,814,20,*,*,*,*,*,*,150,130,88,341,768,10300,10300,4130,1590,2540,400,500,1700,10.2,9678,75
1836,Saint Mary's College,IN,2,538,488,1026,25,490,600,430,530,23,27,888,734,393,1433,27,12730,12730,4514,2652,1862,901,500,1525,9.9,11165,98
1837,Saint Meinrad College,IN,2,*,*,*,*,*,*,*,*,18,23,69,44,36,118,*,6004,6004,4226,*,*,76,400,2100,4.9,*,*
1838,Taylor University,IN,2,579,513,1092,25,570,640,460,560,23,28,1769,1092,437,1757,81,10965,10965,4000,1900,2100,210,450,1250,14.2,8294,98
1839,Tri-State University,IN,2,502,409,911,21,440,570,360,460,18,24,1262,1102,276,978,98,9456,9456,4350,*,*,186,468,1323,12.8,7603,65
1840,University of Notre Dame,IN,2,650,570,1220,*,620,720,540,640,*,*,7700,3700,1906,7671,30,16850,16850,4400,4400,*,147,600,1350,13.1,13936,97
1842,Valparaiso University,IN,2,*,*,*,*,530,670,470,590,25,30,2075,1727,520,2501,198,11800,11800,3260,1300,1960,450,500,800,14.2,9681,95
1844,Wabash College,IN,2,*,*,*,*,540,660,440,580,*,*,800,623,256,801,5,12925,12925,4195,1480,2715,250,500,635,9.9,14904,72
9563,Indiana State University,IN,1,434,391,825,20,360,500,330,450,17,22,5659,4761,3147,8596,1949,2802,6892,3706,*,*,*,600,2500,16.6,6996,40
1903,Baker University,KS,2,*,*,*,23,*,*,*,*,20,25,602,483,206,958,466,8620,8620,4100,1900,2200,310,400,2250,11,6136,65
1904,Bethany College,KS,2,*,*,*,23,*,*,*,*,18,24,878,816,200,706,62,8740,8740,3363,1463,1900,105,550,1700,11.6,7718,48
1905,Bethel College,KS,2,*,*,*,22,*,*,*,*,19,26,202,184,122,537,101,8540,8540,3580,1960,1620,200,500,1400,8.8,8324,56
1915,Fort Hays State University,KS,1,*,*,*,*,*,*,*,*,*,*,1363,1363,806,3640,706,1734,4869,2950,2950,*,*,500,*,18.1,5804,44
1918,Friends University,KS,2,*,*,*,20,*,*,*,*,*,*,358,276,172,838,122,8516,8516,3130,*,1910,115,650,*,25,4962,49
1926,Pittsburg State University,KS,1,*,*,*,21,*,*,*,*,*,*,1419,1313,813,4469,499,1778,5424,3000,3000,*,*,300,2000,23.2,1834,58
1927,Emporia State University,KS,1,*,*,*,20,*,*,*,*,18,23,1256,1256,853,3957,588,1729,5401,3144,1512,1632,*,450,1888,19.3,5527,50
1928,Kansas State University,KS,1,*,*,*,*,*,*,*,*,19,26,5880,4075,2833,14914,2246,1713,6995,3120,3120,*,403,600,2000,18.5,6122,54
1929,Kansas Wesleyan University,KS,2,*,*,*,21,*,*,*,*,*,*,589,575,148,474,258,8400,8400,3250,1850,1400,120,500,1400,12.4,6535,68
1933,McPherson College,KS,2,*,*,*,22,*,*,*,*,*,*,420,293,93,336,80,7950,7950,3750,1550,2200,260,600,2740,9.8,9754,48
1937,Ottawa University,KS,2,*,*,*,*,*,*,*,*,16,24,607,388,236,538,36,7250,7250,3245,1945,1300,*,400,2730,14.5,*,46
1940,Southwestern College,KS,2,*,*,*,21,*,*,*,*,*,*,213,155,75,504,147,7200,7200,3532,*,*,*,550,1500,11.8,7818,52
1943,Saint Mary College,KS,2,*,*,*,*,*,*,*,*,20,26,273,229,66,439,415,7800,7800,3880,3820,*,270,800,*,8.2,7364,53
1945,Sterling College,KS,2,441,402,843,22,*,*,*,*,*,*,479,373,127,631,133,8280,8280,3260,*,*,100,500,*,16.1,10049,36
1946,Tabor College,KS,2,*,*,*,22,*,*,*,*,*,*,257,183,109,396,38,7850,7850,3410,2010,1400,200,400,1500,10,7233,53
1948,University of Kansas,KS,1,*,*,*,23,*,*,*,*,20,26,8579,5561,3681,17880,1673,1650,6994,3384,*,*,388,700,2681,13.7,9657,57
1949,Washburn University,KS,1,*,*,*,*,*,*,*,*,*,*,1100,1078,560,3157,2705,2790,4774,3210,1410,1800,32,450,1000,13.8,5828,53
1950,Wichita State University,KS,1,*,*,*,21,*,*,*,*,18,24,2901,2236,896,6550,5083,1650,6994,3299,*,*,465,450,350,20.4,5950,32
7032,MidAmerica Nazarene College,KS,2,*,*,*,22,*,*,*,*,18,24,331,331,225,1100,166,6840,6840,3720,*,*,472,1100,4913,15.4,5524,49
10256,Benedictine College,KS,2,*,*,*,*,400,470,430,540,19,27,632,620,222,702,501,9550,9550,3850,2250,1600,210,350,250,14.1,5922,58
1951,Alice Lloyd College,KY,2,*,*,*,*,*,*,*,*,18,24,1174,607,289,555,24,*,3800,2480,1100,1380,300,500,800,19.4,6616,31
1952,Asbury College,KY,2,513,476,989,23,430,570,430,520,21,25,643,509,280,1110,39,8988,8988,2764,1226,1538,125,500,1600,12.1,7741,*
1954,Bellarmine College,KY,2,515,474,989,23,460,580,410,540,20,26,807,707,308,1198,605,8840,8840,2950,1950,1000,100,750,1290,13.1,6668,84
1955,Berea College,KY,2,514,465,979,22,*,*,*,*,*,*,1836,599,455,1540,51,*,*,2835,1355,1480,188,450,1027,13.2,11719,57
1958,Brescia College,KY,2,*,*,*,*,*,*,*,*,18,24,307,260,99,452,249,7500,7500,3200,3200,*,*,650,*,10.1,6554,56
1959,Campbellsville College,KY,2,*,*,*,*,*,*,*,*,19,25,848,587,298,935,184,6060,6060,3070,1850,1220,*,600,1300,17.7,5391,49
1960,Spalding University,KY,2,*,*,*,20,*,*,*,*,*,*,283,201,97,589,263,8400,8400,2800,*,*,96,600,900,10.6,6860,89
1961,Centre College,KY,2,575,534,1109,27,500,650,480,590,25,29,1013,888,288,943,7,11850,11850,4270,2120,2150,350,600,900,11.4,13118,74
1962,Cumberland College,KY,2,470,420,890,21,410,540,350,480,18,24,995,789,398,1306,122,6230,6230,3526,3526,*,32,400,600,13,8189,63
1963,Eastern Kentucky University,KY,1,*,*,*,19,*,*,*,*,*,*,5443,5135,2445,11208,3350,1700,4700,3196,1960,1236,*,600,*,19.8,5394,39
1964,Georgetown College,KY,2,*,*,*,22,*,*,*,*,20,26,727,693,286,1063,48,8000,8100,3950,1975,1975,50,550,550,13.3,7508,55
1968,Kentucky State University,KY,1,*,*,*,*,348,480,290,415,16,20,1636,952,424,1544,896,1340,4120,2682,1456,1226,100,510,*,15,8372,19
1969,Kentucky Wesleyan College,KY,2,450,410,860,22,410,540,360,490,19,25,584,497,175,662,121,8000,8000,4150,2300,1850,200,500,1300,11.3,7058,62
1972,Lindsey Wilson College,KY,2,*,*,*,18,*,*,*,*,*,*,1089,865,382,1006,164,6600,6600,3550,1400,2150,80,400,500,19.3,5067,*
1976,Morehead State University,KY,1,*,*,*,20,*,*,*,*,17,21,2825,2495,1300,6311,975,1580,4740,2950,*,*,320,500,1050,19.9,5175,52
1977,Murray State University,KY,1,*,*,*,22,*,*,*,*,19,24,2225,1910,1190,5968,955,1580,4738,3110,1290,1820,280,700,940,20.2,5972,52
1980,Pikeville College,KY,2,*,*,*,*,*,*,*,*,15,22,404,400,169,797,100,6000,6000,3000,3000,*,130,500,500,13.4,5557,61
1987,Transylvania University,KY,2,564,532,1096,26,500,650,460,610,23,29,759,729,244,867,51,10900,10900,4450,2480,1970,450,500,1000,12.1,10219,70
1988,Union College,KY,2,440,390,830,20,340,480,300,430,17,26,484,384,177,634,78,7800,7800,2950,2950,*,*,500,600,14.1,6864,64
1989,University of Kentucky,KY,1,*,*,*,25,*,*,*,*,21,26,7769,5689,2675,14931,2596,2160,6640,3226,*,*,330,450,1340,12.2,11098,52
1999,University of Louisville,KY,1,*,*,*,21,*,*,*,*,*,*,4777,3057,1823,9844,6198,2180,6540,3600,*,*,210,530,2440,11.1,10207,31
2001,Thomas More College,KY,2,512,452,964,23,*,*,*,*,*,*,808,594,218,756,502,9490,9490,3892,2248,1644,110,400,880,10.5,7678,66
2002,Western Kentucky University,KY,1,*,*,*,*,*,*,*,*,18,23,4441,3260,2082,10264,2910,1801,4961,3149,1316,1833,221,500,1100,19.1,5063,45
9275,Northern Kentucky University,KY,1,*,*,*,*,*,*,*,*,17,22,2920,2506,1682,7112,3832,1720,4720,2900,2900,*,*,500,500,17.7,4745,52
2003,Centenary College of Louisiana,LA,2,550,500,1060,25,460,610,440,570,22,28,495,434,210,775,44,8950,8950,3490,1470,2020,306,600,1900,11.3,9685,66
2004,Dillard University,LA,2,*,*,*,20,*,*,*,*,*,*,1998,1376,651,1539,45,6700,6700,3650,*,*,*,500,2307,14.1,7566,61
2005,Nicholls State University,LA,1,*,*,*,19,*,*,*,*,16,21,2020,1898,1092,4921,1338,1980,4572,2550,*,*,37,600,2307,21.8,4466,36
2006,Grambling State University,LA,1,*,*,*,*,*,*,*,*,15,18,4847,3518,1900,6567,261,1044,1044,1306,775,531,12,500,1200,24.6,5034,58
2007,Louisiana College,LA,2,*,*,*,*,*,*,*,*,21,23,2013,1053,212,912,158,5150,5150,3036,*,*,420,500,1655,10.5,7547,59
2008,Louisiana Tech University,LA,1,*,*,*,22,*,*,*,*,19,25,2397,2144,1525,6720,1822,2262,3957,2325,1245,1080,*,618,1656,20,4546,45
2010,Louisiana State University at Baton Rouge,LA,1,529,468,997,23,460,610,400,540,20,26,5996,4993,3079,16269,3757,2625,5925,2980,1720,1260,75,600,2242,15.9,6741,37
2013,Louisiana State University at Shreveport,LA,1,*,*,*,*,*,*,*,*,17,22,675,645,500,2413,1477,1950,4990,1680,*,1680,130,617,2307,18.1,4287,35
2015,University of New Orleans,LA,1,500,447,947,21,*,*,*,*,18,23,2406,2139,1501,8158,3643,2362,5154,3116,1557,1566,*,800,1790,17.9,5260,19
2016,Loyola University,LA,2,540,510,1050,25,480,590,440,570,23,27,1891,1698,719,2740,761,11100,11100,5870,2980,2890,190,600,750,11.7,9456,53
2017,McNeese State University,LA,1,*,*,*,19,*,*,*,*,16,21,2066,2031,1525,6020,1317,1966,3450,2310,1110,1200,*,650,1608,21.1,3976,34
2020,Northeast Louisiana University,LA,1,*,*,*,20,*,*,*,*,16,22,2963,2814,1840,8718,1707,1644,3804,1980,*,*,282,617,1655,20.6,4092,21
2021,Northwestern State University of Louisiana,LA,1,*,*,*,20,*,*,*,*,16,22,2671,2671,1330,5742,1969,2040,4040,2216,1236,980,143,500,1600,29.5,4587,33
2023,Our Lady of Holy Cross College,LA,2,*,*,*,*,*,*,*,*,*,*,246,217,171,674,472,4400,4400,*,*,*,95,534,*,16.1,5053,73
2024,Southeastern Louisiana University,LA,1,*,*,*,19,*,*,*,*,*,*,3247,3247,2297,9724,2192,1910,3854,2230,1030,1200,*,250,*,24.3,3666,29
2026,Southern University at New Orleans,LA,1,*,*,*,17,*,*,*,*,10,18,900,900,490,2911,1089,1451,3009,*,*,*,*,600,*,19.6,4355,35
2029,Tulane University,LA,2,*,*,*,*,560,670,490,616,*,*,7033,5125,1223,4941,1534,19040,19040,5950,2690,3260,510,350,800,9.1,16920,74
2031,University of Southwestern Louisiana,LA,1,*,*,*,19,*,*,*,*,16,21,4299,4250,2664,11767,3219,1898,4898,2082,*,*,*,560,*,22.7,4099,30
2032,Xavier University of Louisiana,LA,2,469,438,890,21,395,535,375,496,18,23,2097,1915,695,2793,166,6900,6900,4200,*,*,200,617,781,14.4,8323,49
9636,Southern University and A & M College,LA,1,*,*,*,17,*,*,*,*,14,18,2431,2416,1711,7534,775,2028,3950,2982,1208,1508,*,600,600,15.9,5244,33
2114,American International College,MA,2,*,*,*,*,380,510,370,490,*,*,1420,1093,220,1018,287,8700,8700,4780,4780,*,480,450,1400,14.7,7355,69
2115,Amherst College,MA,2,685,639,1324,25,640,740,600,690,28,32,4302,992,418,1593,5,19760,19760,5300,2650,2650,272,660,1598,8.4,21424,100
2117,Anna Maria College,MA,2,*,*,*,*,420,490,410,480,*,*,350,283,82,367,406,10800,10800,4835,*,*,550,500,*,11.7,5982,82
2118,Assumption College,MA,2,*,*,*,*,430,530,400,500,*,*,2135,1700,491,1708,689,12000,12000,5920,*,*,125,500,500,13.8,7100,88
2120,Merrimack College,MA,2,520,480,1000,*,470,530,430,520,*,*,1981,1541,514,1927,1084,12500,12500,6200,2750,3450,175,375,1000,16.8,8707,80
2121,Babson College,MA,2,*,*,*,*,520,630,430,530,*,*,2007,1139,407,1680,*,16600,16600,6985,2495,4490,660,500,1045,16.8,15286,94
2124,Bentley College,MA,2,*,*,*,*,480,600,400,500,*,*,3466,2330,640,3095,1533,13800,13800,5510,2730,2780,65,630,850,17.5,10941,82
2126,Berklee College of Music,MA,2,*,*,*,*,*,*,*,*,*,*,1975,1516,712,2223,304,11550,11550,6990,*,*,385,400,1115,10.2,9719,38
2128,Boston College,MA,2,*,*,*,*,600,690,520,610,*,*,13112,6179,2154,8807,*,16640,16640,6960,3130,3830,448,500,1300,16.6,10989,90
2130,Boston University,MA,2,600,550,1150,26,550,650,500,600,24,29,20192,13007,3810,14971,3113,18420,18420,6810,3920,2890,270,475,1025,11.9,16836,72
2132,Bradford College,MA,2,*,*,*,*,*,*,*,*,*,*,443,330,151,453,42,14080,14080,6270,3500,2750,260,500,900,10.2,15387,46
2133,Brandeis University,MA,2,*,*,*,*,570,690,530,640,*,*,4186,2743,740,2819,62,19380,19380,6750,3500,3250,450,410,1000,9.8,17150,84
2139,Clark University,MA,2,*,*,*,*,500,630,440,560,*,*,2887,2059,457,1928,296,17500,17500,4200,2000,2200,440,500,950,10.5,11951,79
2140,Elms College,MA,2,450,440,890,*,420,440,420,440,*,*,245,208,125,544,436,11800,11800,4765,4765,*,400,450,1700,11.3,8952,86
2141,College of the Holy Cross,MA,2,627,573,1200,*,590,670,550,640,*,*,2994,1691,659,2675,22,18000,18000,6300,6300,*,355,400,900,11.3,12138,95
2143,Curry College,MA,2,420,390,810,*,340,460,340,450,*,*,1224,936,283,891,332,13600,13600,5450,3050,2400,500,600,*,8.7,11992,58
2145,Eastern Nazarene College,MA,2,512,468,980,*,440,580,410,530,*,*,516,409,200,1238,30,8770,8770,3500,3500,*,590,450,700,17.3,6430,70
2146,Emerson College,MA,2,505,515,1020,*,450,570,460,570,*,*,1849,1228,492,2025,169,15200,15200,7782,4590,3192,348,500,933,18,10602,62
2148,Endicott College,MA,2,401,381,782,*,*,*,*,*,*,*,1000,858,319,665,298,11455,11455,6130,*,*,250,400,1000,12.3,*,*
2153,Gordon College,MA,2,509,483,992,*,440,580,420,540,*,*,674,565,282,1151,39,12200,12200,4070,1470,2600,520,400,1200,14.2,9226,66
2155,Harvard University,MA,2,*,*,*,*,680,770,630,720,*,*,13865,2165,1606,6862,320,18485,18485,6410,3370,3040,1335,500,1920,9.9,37219,100
2158,Lasell College,MA,2,390,410,800,*,320,430,340,440,*,*,618,540,171,470,59,11475,11475,6200,*,*,525,600,2150,9.1,10066,*
2160,Lesley College,MA,2,435,411,846,*,370,490,360,470,*,*,244,198,82,1134,336,11700,11700,5300,2100,3200,120,550,805,27.8,8694,58
2161,University of Massachusetts at Lowell,MA,1,504,447,951,*,440,550,400,490,*,*,3986,3026,1093,5740,4182,4694,9838,4164,1774,2390,*,500,1160,16.1,7607,53
2178,Massachusetts Institute of Technology,MA,2,742,639,1381,31,720,780,570,690,29,33,6411,2140,1078,4481,28,20100,20100,5975,3200,2775,600,725,1600,10.1,33541,94
2183,Bridgewater State College,MA,1,482,441,923,*,425,520,390,480,*,*,4915,3340,1064,5356,1502,1408,5542,3991,2291,1700,2014,500,1750,17.1,4666,51
2184,Fitchburg State College,MA,1,467,424,891,*,410,510,370,460,*,*,2857,2090,577,2879,1412,1408,5542,4030,2330,1700,1826,450,1555,14.7,4861,57
2185,Framingham State College,MA,1,474,437,911,*,*,*,*,*,*,*,4141,2316,586,3248,1969,1380,5244,3366,2110,1256,1796,500,600,21.2,*,*
2187,North Adams State College,MA,1,470,427,897,*,*,*,*,*,*,*,1563,1005,240,1380,136,1408,5542,4330,2400,1930,2147,500,1000,14.2,6562,57
2188,Salem State College,MA,1,416,386,802,*,*,*,*,*,*,*,3973,3168,1334,5625,3416,1408,5542,3514,1564,1950,1650,375,650,21,4386,45
2189,Westfield State College,MA,1,460,420,880,*,400,500,400,400,*,*,3100,2150,825,3234,941,1408,5542,3788,2600,1188,1746,500,1300,15.7,4222,65
2190,Worcester State College,MA,1,436,400,832,*,*,*,*,*,*,*,2197,1515,543,3089,2029,2663,6797,3900,2660,1240,1255,500,1200,21,4469,40
2192,Mount Holyoke College,MA,2,571,549,1120,27,535,635,480,605,*,*,1800,1314,526,1891,40,19300,19300,5700,2800,2900,735,750,750,9,18359,84
2193,Mount Ida College,MA,2,*,*,*,*,*,*,*,*,*,*,4750,4041,795,1501,334,9810,9810,6890,6890,*,290,300,*,13.5,5025,77
2197,Nichols College,MA,2,437,377,814,*,380,500,330,420,*,*,780,702,218,707,693,9744,9744,5624,2812,2812,200,400,1000,27.7,*,*
2199,Northeastern University,MA,2,531,467,998,23,460,600,410,520,20,26,11901,8492,2517,11160,10221,13380,13380,7425,3990,3435,186,600,1750,12.9,9563,46
2201,Pine Manor College,MA,2,391,373,764,20,320,450,330,420,17,23,354,323,125,372,28,15190,15190,6480,3240,3240,675,400,500,8.9,14795,67
2206,Regis College,MA,2,452,429,881,*,*,*,*,*,*,*,427,385,143,581,533,12700,12700,5800,5800,*,275,450,700,10.3,11758,84
2208,Simmons College,MA,2,480,460,940,24,420,550,410,550,22,26,1003,782,295,1144,160,16160,16160,6950,*,*,518,500,1200,8.9,14086,79
2209,Smith College,MA,2,*,*,*,*,550,650,520,630,25,30,2925,1598,632,2479,95,18820,18820,6390,*,*,163,500,1050,10.3,21199,90
2210,University of Massachusetts at Dartmouth,MA,1,482,423,905,*,417,550,373,481,*,*,3347,2597,1006,4664,1630,1836,6919,4500,*,*,1999,500,1250,15,7462,56
2211,Springfield College,MA,2,480,420,900,*,420,540,380,470,*,*,1888,1347,519,2160,131,9438,9438,4300,2100,2200,432,*,*,12.8,*,76
2217,Stonehill College,MA,2,530,480,1010,*,480,580,440,520,*,*,3646,2300,585,2022,926,12170,12170,6172,*,*,275,480,800,13,7495,97
2218,Suffolk University,MA,2,447,407,854,*,380,520,350,470,*,*,1247,980,356,2207,814,10584,10584,*,*,*,60,500,2400,13.3,9336,60
2219,Tufts University,MA,2,*,*,*,*,610,700,540,630,*,*,7614,3605,1205,4598,*,19701,19701,5968,3038,2930,503,600,928,10.3,18981,92
2221,University of Massachusetts at Amherst,MA,1,*,*,*,*,460,590,410,520,*,*,14438,12414,3816,16282,1940,2220,8566,3897,1712,2185,3247,500,1400,16.7,10276,68
2222,University of Massachusetts at Boston,MA,1,468,427,895,*,410,520,370,490,*,*,2237,1495,800,6034,4954,2220,8568,*,*,*,2028,560,1221,14.5,10132,41
2224,Wellesley College,MA,2,630,600,1230,*,580,690,550,660,*,*,2895,1249,579,2195,156,18345,18345,5995,3055,2940,360,500,700,10.6,21409,91
2226,Western New England College,MA,2,447,390,837,*,380,510,340,440,*,*,1650,1471,409,1803,1116,8994,8994,5500,5500,*,800,498,2065,15.4,8409,59
2227,Wheaton College,MA,2,550,530,1080,24,500,600,490,580,22,27,1738,1373,417,1335,30,18460,18460,5970,2900,3070,120,700,850,13.2,22704,71
2228,Wheelock College,MA,2,438,415,853,*,360,500,340,460,*,*,399,335,161,736,29,13472,13472,5528,5528,*,*,400,*,9.6,12113,74
2229,Williams College,MA,2,*,*,*,*,650,740,600,710,29,32,4186,1245,526,1988,29,19629,19629,5790,2855,2935,141,500,1200,9,22014,99
2233,Worcester Polytechnic Institute,MA,2,660,540,1200,28,600,700,490,590,*,*,2768,2314,682,2802,86,15884,15884,5370,2790,2580,346,530,730,15.2,10774,82
4661,Hampshire College,MA,2,555,556,1111,*,490,640,490,620,*,*,1342,998,309,1079,*,20655,20655,5475,2000,3475,690,375,450,11.4,14276,62
9645,Simon's Rock College of Bard,MA,2,597,574,1171,*,520,690,510,650,*,*,300,171,132,303,3,16900,16900,5620,2880,2740,2000,400,900,8.2,13311,84
29099,Wentworth Institute of Technology,MA,2,470,380,850,*,400,540,390,430,*,*,1480,1257,452,2961,572,9850,9850,6050,6050,*,*,850,920,15.4,17858,64
1436,Capitol College,MD,2,460,420,880,*,*,*,*,*,*,*,100,90,35,282,331,8400,8400,2812,2812,*,195,300,2134,12.1,7976,52
2062,Bowie State University,MD,1,384,357,741,*,349,449,349,449,*,*,1643,882,407,2179,1089,2141,4869,4075,2384,1691,673,600,2200,22,7848,17
2065,College of Notre Dame of Maryland,MD,2,500,470,970,*,440,580,410,540,*,*,457,356,177,667,1983,11180,11180,5620,*,*,100,600,700,11.5,7477,75
2067,Columbia Union College,MD,2,*,*,*,*,360,590,370,490,17,23,1301,957,101,514,466,9500,9500,3450,1950,1500,260,700,*,13.9,9431,63
2068,Coppin State College,MD,1,393,370,763,18,*,*,*,*,*,*,1478,723,381,1863,775,2600,5000,4540,4540,*,94,500,700,16.3,7160,*
2072,Frostburg State University,MD,1,476,426,902,*,420,530,380,480,*,*,2916,2167,911,4147,449,2431,5428,4390,2280,2110,418,700,950,17.8,5491,54
2073,Goucher College,MD,2,572,539,1111,*,510,630,470,610,*,*,1151,813,248,850,80,15588,15588,6174,4114,2060,100,500,1200,9.2,16623,77
2076,Hood College,MD,2,509,485,994,24,440,580,430,540,21,28,699,565,176,710,399,13960,13960,6040,*,*,150,450,690,14.4,12434,72
2077,Johns Hopkins University,MD,2,686,606,1292,30,660,740,560,660,*,*,8474,3446,911,3566,1569,18800,18800,6740,3815,2925,*,500,1040,3.3,56233,90
2078,Loyola College,MD,2,563,507,1070,*,510,620,460,580,*,*,4076,3137,738,3010,184,12990,12990,6300,*,*,190,600,900,14.7,9448,80
2083,Morgan State University,MD,1,444,427,871,*,*,*,*,*,*,*,5892,3034,1358,4517,745,1794,4136,4640,*,*,643,550,*,18.2,6867,29
2086,Mount Saint Mary's College,MD,2,510,460,970,*,440,570,400,510,*,*,1321,1159,328,1243,79,12850,12850,6200,3100,3100,*,550,900,12.8,8536,80
2091,Salisbury State University,MD,1,554,491,1045,22,520,620,440,540,21,24,4216,2290,736,4296,1027,2328,5130,4690,2190,2500,766,600,1450,17.9,5125,56
2092,St. John's College,MD,2,*,*,*,*,530,660,580,680,*,*,323,278,122,393,4,16150,16150,5450,5450,*,200,275,800,7.2,15622,64
2095,St. Mary's College of Maryland,MD,1,615,579,1194,*,570,670,530,630,*,*,1340,695,285,1315,209,4000,6800,4730,4730,*,915,675,1250,11.6,10357,63
2099,Towson State University,MD,1,516,467,983,*,470,560,420,510,*,*,6151,3837,1215,9247,3584,2166,5166,4480,2660,1820,1121,660,1053,17.6,5401,60
2101,United States Naval Academy,MD,1,633,538,1171,*,610,710,520,610,*,*,11522,1463,1181,4125,*,*,*,*,*,*,*,*,*,6.8,40020,94
2103,University of Maryland at College Park,MD,1,584,501,1085,*,530,640,440,550,*,*,14292,10315,3409,19340,3991,2919,8723,5146,2899,2247,561,550,1550,18.1,9021,63
2105,University of Maryland at Baltimore County,MD,1,578,505,1083,23,510,640,440,560,*,*,4269,2594,985,6476,2592,3338,8594,4408,1930,2478,*,494,2768,18.4,7618,55
2106,University of Maryland Eastern Shore,MD,1,380,359,739,*,*,*,*,*,*,*,1600,1016,508,2067,199,2674,7014,3580,2080,1500,*,500,*,17.8,5191,35
2107,Villa Julie College,MD,2,484,436,920,*,430,530,380,480,*,*,823,347,237,1055,803,7400,7400,*,*,*,90,600,2910,10.2,5287,72
2108,Washington College,MD,2,551,516,1067,*,470,590,450,570,*,*,1209,942,214,822,46,15276,15276,5318,2372,2946,*,500,300,11.2,10830,65
2109,Western Maryland College,MD,2,527,484,1011,*,450,580,420,550,*,*,1205,984,278,1071,98,14510,14510,5340,2430,2910,*,500,1400,12.5,10026,60
2033,University of Maine at Presque Isle,ME,1,433,388,821,*,340,480,340,470,*,*,461,381,235,974,503,2700,6600,3630,1904,1726,200,400,1675,15.2,6408,35
2036,Bates College,ME,2,640,590,1230,*,590,690,540,630,*,*,3461,1541,577,1599,*,25180,25180,*,*,*,*,650,1120,9.8,16444,93
2038,Bowdoin College,ME,2,640,580,1220,*,570,690,520,620,*,*,3356,1019,418,1490,8,19030,19030,5885,2620,3265,325,1495,875,11.2,20447,96
2039,Colby College,ME,2,610,560,1170,26,570,600,520,660,25,29,2848,1319,456,1720,35,18930,18930,5590,2890,2700,900,500,1000,10.2,15954,91
2040,University of Maine at Farmington,ME,1,*,*,*,*,*,*,*,*,*,*,1208,803,438,1906,344,2790,6810,3970,2124,1846,240,450,1647,15.9,5712,59
2041,University of Maine at Fort Kent,ME,1,415,383,798,*,360,500,350,450,*,*,225,168,104,467,174,1968,4800,3395,1675,1720,90,500,*,15,5632,38
2043,Husson College,ME,2,435,383,818,*,*,*,*,*,*,*,723,652,361,951,706,7800,7800,4000,4000,*,100,350,1500,22,4923,84
2050,University of New England,ME,2,470,430,900,*,400,530,370,490,*,*,1209,750,265,820,159,11450,11450,5045,5045,*,500,900,2500,11.4,9718,64
2051,Saint Joseph's College,ME,2,460,420,880,*,390,510,370,470,*,*,833,682,217,716,2196,9985,9985,5180,*,*,295,500,800,27.2,4322,85
2052,Thomas College,ME,2,460,370,830,*,420,550,340,450,*,*,356,312,139,388,412,8850,8850,4450,2300,2150,200,600,1000,21.8,5001,75
